2021,1,1,0,79,6.7,100,1019.39,-27,-25.8,-999.9,76,-99
2021,1,1,1,80,6.7,100,1018.99,-26.4,-25.3,-999.9,77,-99
2021,1,1,2,81,7.3,100,1018.51,-26,-25.3,-999.9,77,-99
2021,1,1,3,76,6.6,100,1018.18,-26.2,-25.2,-999.9,77,-99
2021,1,1,4,82,7.7,100,1017.89,-25.9,-25.2,-999.9,78,-99
2021,1,1,5,75,5.5,100,1017.66,-27.5,-25.8,-999.9,76,-99
2021,1,1,6,62,6.3,100,1016.99,-28.6,-25.9,-999.9,76,-99
2021,1,1,7,64,5.6,100,1016.69,-28.8,-26.2,-999.9,75,-99
2021,1,1,8,63,5.7,100,1016.22,-29.3,-26.3,-999.9,75,-99
2021,1,1,9,58,6.5,100,1015.79,-29.8,-26.3,-999.9,75,-99
2021,1,1,10,55,6.1,100,1015.66,-29.7,-27,-999.9,75,-99
2021,1,1,11,59,6.2,100,1015.32,-29.5,-27.1,-999.9,75,-99
2021,1,1,12,55,7.1,100,1014.83,-29.1,-27.1,-999.9,75,-99
2021,1,1,13,71,5.8,100,1014.55,-27.3,-26.4,-999.9,76,-99
2021,1,1,14,76,5.7,100,1014.15,-25.1,-24.7,-999.9,78,-99
2021,1,1,15,78,5,100,1013.6,-24.7,-24.2,-999.9,78,-99
2021,1,1,16,74,6.6,100,1013.16,-25.8,-24.8,-999.9,78,-99
2021,1,1,17,75,6.2,100,1013.04,-27,-25.9,-999.9,77,-99
2021,1,1,18,80,6.9,100,1012.73,-26.9,-25.9,-999.9,77,-99
2021,1,1,19,70,6.5,100,1012.54,-27.4,-26,-999.9,76,-99
2021,1,1,20,75,6.4,100,1012.27,-25.2,-24.9,-999.9,78,-99
2021,1,1,21,77,6.3,100,1012,-23.8,-23.5,-999.9,79,-99
2021,1,1,22,73,5.1,100,1012,-22.9,-22.6,-999.9,80,-99
2021,1,1,23,58,5,99,1011.78,-22.7,-22.1,-999.9,80,-99
2021,1,2,0,53,7.4,100,1011.39,-21.7,-21.3,-999.9,81,-99
2021,1,2,1,73,6.4,98,1011.19,-21.6,-21.3,-999.9,81,-99
2021,1,2,2,86,5.5,100,1011.28,-22.6,-22.3,-999.9,80,-99
2021,1,2,3,85,5.9,100,1011.09,-23.7,-23.3,-999.9,80,-99
2021,1,2,4,70,4.4,99,1010.93,-25.9,-24.5,-999.9,78,-99
2021,1,2,5,59,4.5,100,1010.82,-27,-24.9,-999.9,77,-99
2021,1,2,6,61,4.4,100,1010.66,-27.2,-25.2,-999.9,76,-99
2021,1,2,7,64,4.8,100,1010.47,-27.4,-25.1,-999.9,76,-99
2021,1,2,8,57,4.9,100,1010.4,-27.4,-24.5,-999.9,75,-99
2021,1,2,9,50,5.5,100,1010.43,-27.2,-24.1,-999.9,76,-99
2021,1,2,10,60,4.5,100,1010.46,-27,-24.5,-999.9,76,-99
2021,1,2,11,52,5.7,100,1010.41,-27,-24.2,-999.9,76,-99
2021,1,2,12,49,5.9,100,1010.39,-27.7,-24.4,-999.9,75,-99
2021,1,2,13,55,5.2,100,1010.28,-27,-24.5,-999.9,76,-99
2021,1,2,14,58,4.6,100,1010.14,-25.8,-24.2,-999.9,77,-99
2021,1,2,15,45,3.7,100,1009.86,-25.5,-24.2,-999.9,77,-99
2021,1,2,16,55,4.4,99,1009.54,-25.5,-23.8,-999.9,77,-99
2021,1,2,17,58,4.4,99,1009.26,-25.2,-23.4,-999.9,78,-99
2021,1,2,18,45,4.3,100,1009.21,-25.2,-23.4,-999.9,77,-99
2021,1,2,19,42,4.2,100,1009.08,-24.7,-23.1,-999.9,77,-99
2021,1,2,20,35,3.5,100,1009.16,-23.2,-22.2,-999.9,79,-99
2021,1,2,21,43,5.9,100,1009.02,-21.6,-21.1,-999.9,80,-99
2021,1,2,22,44,5.6,100,1008.98,-21.2,-20.7,-999.9,81,-99
2021,1,2,23,48,4.9,100,1009.14,-20.7,-20.3,-999.9,81,-99
2021,1,3,0,92,5.3,92,1009.29,-21,-20.7,-999.9,82,-99
2021,1,3,1,97,5.1,99,1009.35,-22.6,-22.5,-999.9,81,-99
2021,1,3,2,81,3.8,99,1009.33,-23.5,-23,-999.9,80,-99
2021,1,3,3,61,2.7,99,1009.29,-23.8,-23.3,-999.9,79,-99
2021,1,3,4,48,2.2,98,1009.28,-23.6,-23,-999.9,79,-99
2021,1,3,5,68,1.8,94,1009.35,-22.5,-22.1,-999.9,80,-99
2021,1,3,6,97,1.3,95,1009.15,-21.7,-21.3,-999.9,81,-99
2021,1,3,7,116,0.9,97,1008.98,-21.5,-21,-999.9,81,-99
2021,1,3,8,80,1.6,96,1008.74,-21,-20.6,-999.9,81,-99
2021,1,3,9,64,2.1,96,1008.67,-20.6,-20.2,-999.9,82,-99
2021,1,3,10,68,2.3,99,1008.6,-20.3,-20,-999.9,82,-99
2021,1,3,11,79,1.1,93,1008.48,-20,-19.7,-999.9,82,-99
2021,1,3,12,200,1.1,74,1008.32,-20.4,-20,-999.9,83,-99
2021,1,3,13,212,1.1,99,1007.96,-20.5,-20,-999.9,82,-99
2021,1,3,14,27,0.4,47,1007.6,-20,-19.6,-999.9,82,-99
2021,1,3,15,127,1,71,1007.31,-20,-19.8,-999.9,83,-99
2021,1,3,16,188,1.2,99,1007.05,-20.4,-20,-999.9,83,-99
2021,1,3,17,192,1.5,99,1006.92,-20.2,-19.9,-999.9,83,-99
2021,1,3,18,179,1.9,99,1006.67,-20,-19.8,-999.9,83,-99
2021,1,3,19,210,2.9,99,1006.64,-20,-19.8,-999.9,83,-99
2021,1,3,20,211,3.2,100,1006.82,-20,-19.9,-999.9,83,-99
2021,1,3,21,210,3.8,100,1006.84,-20,-20,-999.9,83,-99
2021,1,3,22,206,3.1,100,1006.7,-20,-20,-999.9,83,-99
2021,1,3,23,205,2.9,100,1006.45,-19.8,-19.7,-999.9,83,-99
2021,1,4,0,206,3.1,100,1006.34,-19.5,-19.4,-999.9,83,-99
2021,1,4,1,200,2.2,100,1006.23,-19.1,-18.9,-999.9,84,-99
2021,1,4,2,205,2,99,1006.05,-19.1,-18.9,-999.9,84,-99
2021,1,4,3,2,1.4,75,1006.02,-18.1,-17.7,-999.9,84,-99
2021,1,4,4,9,3.6,100,1006.02,-17.6,-17.4,-999.9,85,-99
2021,1,4,5,21,3.7,100,1006.1,-18.1,-17.9,-999.9,84,-99
2021,1,4,6,16,3.7,99,1006.13,-18.5,-18.4,-999.9,84,-99
2021,1,4,7,17,3.5,99,1006.06,-19.7,-19.5,-999.9,83,-99
2021,1,4,8,4,2.8,99,1006.12,-20.4,-20.3,-999.9,83,-99
2021,1,4,9,6,3.3,100,1006.23,-21.1,-20.7,-999.9,82,-99
2021,1,4,10,4,2.9,100,1006.12,-21.6,-20.7,-999.9,81,-99
2021,1,4,11,0,3.6,100,1005.99,-21.8,-20.9,-999.9,81,-99
2021,1,4,12,4,3.2,100,1005.82,-21.3,-20.8,-999.9,81,-99
2021,1,4,13,358,3.8,100,1005.41,-21.7,-21.3,-999.9,82,-99
2021,1,4,14,19,3.8,100,1005.1,-22.4,-22.1,-999.9,80,-99
2021,1,4,15,10,2.6,99,1004.52,-22.7,-22.4,-999.9,81,-99
2021,1,4,16,4,2.6,97,1004.21,-22.4,-21.9,-999.9,81,-99
2021,1,4,17,8,3.4,99,1003.92,-22.9,-22.1,-999.9,81,-99
2021,1,4,18,12,3.5,100,1003.6,-22.9,-21.7,-999.9,80,-99
2021,1,4,19,27,2.2,96,1003.5,-22.7,-21.7,-999.9,80,-99
2021,1,4,20,87,0.6,66,1003.3,-23.5,-22.6,-999.9,80,-99
2021,1,4,21,76,0.3,60,1002.95,-23.6,-22.9,-999.9,79,-99
2021,1,4,22,101,1.5,97,1002.64,-23.8,-23.2,-999.9,82,-99
2021,1,4,23,112,1.8,97,1002.15,-24.6,-23.5,-999.9,84,-99
2021,1,5,0,153,1.1,96,1001.88,-25.5,-23.6,-999.9,82,-99
2021,1,5,1,157,1.3,95,1001.42,-25.9,-23.2,-999.9,81,-99
2021,1,5,2,189,1.1,99,1000.99,-26.2,-24.8,-999.9,81,-99
2021,1,5,3,164,1.2,97,1000.65,-26.7,-25.1,-999.9,81,-99
2021,1,5,4,173,1,94,1000.26,-27.4,-24.2,-999.9,80,-99
2021,1,5,5,162,1.3,97,999.87,-28,-24.6,-999.9,80,-99
2021,1,5,6,178,2.1,99,999.57,-29.1,-25.4,-999.9,78,-99
2021,1,5,7,182,2,99,999.19,-30.3,-26.2,-999.9,78,-99
2021,1,5,8,190,2.1,98,999.23,-31.5,-27.5,-999.9,77,-99
2021,1,5,9,163,2.2,99,999.22,-32.4,-29.3,-999.9,76,-99
